"","rules","support","confidence","lift","count"
"405","{citrus fruit,tropical fruit} => {pip fruit}",0.00559227249618709,0.280612244897959,3.70943740399386,55
"415","{other vegetables,pip fruit} => {tropical fruit}",0.00945602440264362,0.361867704280156,3.44861324766989,93
"641","{tropical fruit,whole milk,yogurt} => {root vegetables}",0.00569395017793594,0.375838926174497,3.44811179004307,56
"640","{root vegetables,tropical fruit,whole milk} => {yogurt}",0.00569395017793594,0.474576271186441,3.40193704600484,56
"404","{pip fruit,tropical fruit} => {citrus fruit}",0.00559227249618709,0.27363184079602,3.30610461207476,55
"636","{citrus fruit,root vegetables,whole milk} => {other vegetables}",0.0057956278596848,0.633333333333333,3.27316517778946,57
"410","{pip fruit,root vegetables} => {tropical fruit}",0.00528723945094052,0.339869281045752,3.23896742159396,52
"649","{other vegetables,tropical fruit,whole milk} => {yogurt}",0.00762582613116421,0.446428571428571,3.2001639941691,75
"630","{pip fruit,root vegetables,whole milk} => {other vegetables}",0.00549059481443823,0.613636363636364,3.17136817465246,54
"164","{onions,root vegetables} => {other vegetables}",0.00569395017793594,0.602150537634409,3.11200763932444,56
"458","{citrus fruit,root vegetables} => {tropical fruit}",0.00569395017793594,0.32183908045977,3.06713891116457,56
"467","{citrus fruit,root vegetables} => {other vegetables}",0.0103711235383833,0.586206896551724,3.02960842227336,102
"644","{root vegetables,tropical fruit,whole milk} => {other vegetables}",0.00701576004067107,0.584745762711864,3.02205705531854,69
"556","{root vegetables,tropical fruit} => {other vegetables}",0.0123029994916116,0.584541062801932,3.0209991343442,121
"638","{other vegetables,root vegetables,whole milk} => {citrus fruit}",0.0057956278596848,0.25,3.0205773955774,57
"463","{citrus fruit,other vegetables} => {tropical fruit}",0.0090493136756482,0.313380281690141,2.98652623102959,89
"302","{butter,whipped/sour cream} => {other vegetables}",0.0057956278596848,0.57,2.94584866001051,57
"227","{curd,yogurt} => {tropical fruit}",0.00528723945094052,0.305882352941176,2.91507067943456,52
"646","{other vegetables,root vegetables,whole milk} => {tropical fruit}",0.00701576004067107,0.302631578947368,2.88409067727458,69
"383","{whipped/sour cream,yogurt} => {tropical fruit}",0.00620233858668022,0.299019607843137,2.84966845265238,61
"364","{fruit/vegetable juice,root vegetables} => {other vegetables}",0.00660904931367565,0.550847457627119,2.84686534196674,65
"623","{root vegetables,whipped/sour cream,whole milk} => {other vegetables}",0.00518556176919166,0.548387096774194,2.83414981438476,51
"652","{root vegetables,whole milk,yogurt} => {other vegetables}",0.00782918149466192,0.538461538461538,2.78285298516512,77
"620","{fruit/vegetable juice,whole milk,yogurt} => {other vegetables}",0.00508388408744281,0.537634408602151,2.77857824939682,50
"552","{root vegetables,tropical fruit} => {yogurt}",0.00813421453990849,0.386473429951691,2.77038351572513,80
"526","{bottled water,tropical fruit} => {yogurt}",0.00711743772241993,0.384615384615385,2.75706436420722,70
"290","{margarine,other vegetables} => {root vegetables}",0.00589730554143366,0.298969072164948,2.74287390367749,58
"639","{root vegetables,tropical fruit,yogurt} => {whole milk}",0.00569395017793594,0.7,2.73955431754875,56
"627","{other vegetables,whipped/sour cream,whole milk} => {yogurt}",0.00559227249618709,0.381944444444444,2.73791808390023,55
"200","{frozen vegetables,root vegetables} => {other vegetables}",0.00610066090493137,0.526315789473684,2.72008186519899,60
"182","{chicken,root vegetables} => {other vegetables}",0.00569395017793594,0.523364485981308,2.7048290696932,56
"421","{pip fruit,root vegetables} => {other vegetables}",0.00813421453990849,0.522875816993464,2.70230355235456,80
"324","{newspapers,root vegetables} => {other vegetables}",0.00599898322318251,0.52212389380531,2.69841749636113,59
"634","{other vegetables,pip fruit,whole milk} => {yogurt}",0.00508388408744281,0.37593984962406,2.69487494245819,50
"387","{root vegetables,whipped/sour cream} => {yogurt}",0.00640569395017794,0.375,2.68813775510204,63
"247","{pork,root vegetables} => {other vegetables}",0.00701576004067107,0.514925373134328,2.66121442184767,69
"228","{curd,tropical fruit} => {other vegetables}",0.00528723945094052,0.514851485148515,2.66083255724416,52
"626","{whipped/sour cream,whole milk,yogurt} => {other vegetables}",0.00559227249618709,0.514018691588785,2.65652855059154,55
"310","{butter,root vegetables} => {other vegetables}",0.00660904931367565,0.511811023622047,2.6451189791502,65
